id_mutation,date_mutation,valeur_fonciere,surface,pieces,adresse,numero,code_postal,n_rows,eur_per_m2
2025-1288349,2025-09-29,565000.0,37.0,2.0,RUE DES VERTUS,19.0,75003.0,1,15270.27027027027
2025-1287407,2025-09-29,450000.0,34.0,2.0,RUE SAINT MARTIN,197.0,75003.0,1,13235.29411764706
2025-1288588,2025-09-30,1609920.0,133.0,5.0,RUE DES TOURNELLES,47.0,75003.0,1,12104.661654135338
2025-1287106,2025-10-01,304000.0,21.0,1.0,RUE DE PICARDIE,11.0,75003.0,1,14476.190476190477
2025-1287991,2025-10-01,792040.0,70.0,3.0,RUE QUINCAMPOIX,90.0,75003.0,1,11314.857142857143
2025-1287398,2025-10-02,350000.0,32.0,2.0,RUE DES ARCHIVES,90.0,75003.0,1,10937.5
2025-1287940,2025-10-08,1337700.0,86.0,3.0,RUE DES FRANCS BOURGEOIS,48.0,75003.0,1,15554.651162790698
2025-1287922,2025-10-10,497600.0,40.0,2.0,RUE REAUMUR,18.0,75003.0,1,12440.0
2025-1287652,2025-10-10,525000.0,46.0,2.0,RUE SAINT MARTIN,197.0,75003.0,1,11413.04347826087
2025-1288360,2025-10-10,390000.0,29.0,1.0,RUE CHARLOT,24.0,75003.0,1,13448.275862068966
2025-1289024,2025-10-14,181000.0,25.0,1.0,RUE QUINCAMPOIX,67.0,75003.0,1,7240.0
2025-1289337,2025-10-14,459000.0,34.0,2.0,BD BEAUMARCHAIS,113.0,75003.0,1,13500.0
2025-1288189,2025-10-15,230000.0,19.0,1.0,RUE DU VERTBOIS,9.0,75003.0,1,12105.263157894737
2025-1288612,2025-10-15,227000.0,20.0,1.0,RUE PASTOURELLE,18.0,75003.0,1,11350.0
2025-1288093,2025-10-15,266800.0,17.0,1.0,RUE QUINCAMPOIX,79.0,75003.0,1,15694.117647058823
2025-1288609,2025-10-15,850000.0,78.0,3.0,RUE SAINTE APOLLINE,7.0,75003.0,1,10897.435897435897
2025-1289468,2025-10-16,372500.0,38.0,2.0,RUE NOTRE-DAME DE NAZARETH,24.0,75003.0,1,9802.631578947368
2025-1289645,2025-10-20,235000.0,20.0,1.0,RUE DE TURENNE,124.0,75003.0,1,11750.0
2025-1289104,2025-10-21,300000.0,35.0,2.0,RUE RAMBUTEAU,30.0,75003.0,1,8571.42857142857
2025-1289005,2025-10-22,299000.0,19.0,1.0,RUE VOLTA,50.0,75003.0,1,15736.842105263158
2025-1289074,2025-10-22,270000.0,28.0,1.0,RUE DE BEAUCE,14.0,75003.0,1,9642.857142857143
2025-1289372,2025-10-22,259750.0,23.0,2.0,RUE DE PICARDIE,9.0,75003.0,1,11293.478260869566
2025-1288650,2025-10-23,499300.0,37.0,1.0,RUE DU TEMPLE,103.0,75003.0,1,13494.594594594595
2025-1288776,2025-10-24,440000.0,30.0,2.0,RUE BERANGER,24.0,75003.0,1,14666.666666666666
2025-1288395,2025-10-24,153000.0,19.0,1.0,RUE DU TEMPLE,185.0,75003.0,1,8052.631578947368
